Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Power Source,Power Quality Level,Measured Cores,Optimized Run (HPL),Optimized Run (Peak Power),Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
53,466,AIGIS,"Sugon Cluster W780I, Xeon E5-2630v4 10C 2.2GHz, NVIDIA Tesla P100, Infiniband FDR",Government,Sugon,China,2017,Government,24400,22400,1307,1950.4,300,Submitted,4.356666667,,0,,,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200,CentOS,CentOS,NVIDIA Tesla P100,10,Intel Xeon E5 (Broadwell),Sugon Cluster W780I,Sugon Cluster,Infiniband,Infiniband FDR,Asia,50366,179254
54,159,Cumulus,"PowerEdge C6420/C6320, Intel Xeon Phi 7210/Xeon Gold 6142F 16C 2.6GHz, Intel Omni-Path",University of Cambridge,Dell EMC,United Kingdom,2018,Academic,50176,,2271.38,2688,530,Submitted,4.285622642,,0,,,,Cluster,Xeon Gold 6142F 16C 2.6GHz,Intel Skylake,2600,Scientific Linux,Scientific Linux,None,16,Xeon Gold,PowerEdge C6420/C6320,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,Europe,49143,179577
55,48,Lise,"Bull intel Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",HLRN at ZIB/Konrad Zuse-Zentrum Berlin,Atos,Germany,2019,Academic,103680,,5355.94,7630.85,1258,Submitted,4.257503975,,0,,,,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,2300,CentOS,CentOS,None,48,Xeon Platinum 92xx (Cascade Lake),Bull intel Cluster,Bull Cluster,Omnipath,Intel Omni-Path,Europe,49361,179702
56,42,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",Japan Meteorological Agency,Cray Inc./Hitachi,Japan,2018,Research,135792,,5730.5,9125.22,1353.95,Submitted,4.232431035,,0,,,,MPP,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,Cray Linux Environment ,Cray Linux Environment ,None,24,Xeon Platinum,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,48169,179415
57,41,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",Japan Meteorological Agency,Cray Inc./Hitachi,Japan,2018,Research,135792,,5730.5,9125.22,1353.95,Submitted,4.232431035,,0,,,,MPP,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,Cray Linux Environment ,Cray Linux Environment ,None,24,Xeon Platinum,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,48169,179414
58,181,ATERUI II ,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",National Astronomical Observatory of Japan,Cray/HPE,Japan,2018,Academic,40000,,2089.98,3072,495.86,Submitted,4.214859033,,0,,,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Cray Linux Environment ,Cray Linux Environment ,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,50097,179419
59,142,Aitken,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR/HDR",NASA/Ames Research Center/NAS,HPE,United States,2019,Research,46080,,2375.54,3686.4,578.1,Submitted,4.109219858,,0,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,SLES12,SLES12,None,20,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR/HDR ,North America,50440,179802
60,89,Camphor 2,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",Cray/HPE,Japan,2016,Academic,122400,,3057.35,5483.52,748.1,Submitted,4.086819944,,0,,,,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Cray Linux Environment ,Cray Linux Environment ,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,50516,178927
61,40,Sawtooth,"HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR/HDR ",Idaho National Laboratory,HPE,United States,2019,Research,99792,,5780.62,9220.61,1432,Submitted,4.03674581,,0,,,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,2900,RHEL 7.6,RHEL 7.6,None,24,Xeon Platinum 82xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR/HDR ,North America,47650,179708
62,465,JOLIOT-CURIE KNL,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",CEA/TGCC-GENCI,Atos,France,2017,Research,56304,,1311.33,2339.64,326,Submitted,4.022484663,,0,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,bullx SCS,bullx SCS,None,68,Intel Xeon Phi,Bull Sequana X1000,Bull Sequana,Custom Interconnect,Bull BXI 1.2,Europe,50414,179394
63,441,GSACC,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 100Gb 6D-Torus",GanSu Advanced Computing Center,Sugon,China,2018,Government,28000,,1405,2329.6,350,Submitted,4.014285714,,0,,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600,CentOS,CentOS,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,100Gb 6D-Torus,Asia,50780,179529
64,101,JFRS-1,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ","Rokkasho Fusion Institute, National Institutes for Quantum and Radiological Science and Technology",Cray/HPE,Japan,2018,Research,54560,,2787.14,4190.21,697.51,Submitted,3.995842354,,0,,,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Cray Linux Environment ,Cray Linux Environment ,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,50767,179417
65,460,Taiwania,"PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",National Center for High Performance Computing,Fujitsu,Taiwan,2017,Research,27200,,1325.15,2088.96,332,Submitted,3.991415663,,0,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,None,20,Xeon Gold,PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4,Fujitsu PRIMERGY,Omnipath,Intel Omni-Path,Asia,48468,179170
66,37,MareNostrum,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",Barcelona Supercomputing Center,Lenovo,Spain,2017,Academic,153216,,6470.8,10296.12,1632,Submitted,3.96495098,,0,,,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,SUSE Linux,SUSE Linux,None,24,Xeon Platinum,ThinkSystem SD530,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,49748,179067
67,70,Niagara,"ThinkSystem SD530, Xeon Gold 6248 20C 2.5GHz, InfiniBand HDR100",SciNet/University of Toronto/Compute Canada,Lenovo,Canada,2017,Research,80640,,3599.66,6253.06,919.42,Submitted,3.915142144,,0,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,CentOS Linux 7,CentOS Linux 7,None,20,Xeon Gold 62xx (Cascade Lake),ThinkSystem SD530,Lenovo ThinkSystem,Infiniband,InfiniBand HDR100,North America,50206,179408
68,243,,"Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet",DJIT Company,Sugon,China,2019,Industry,48000,,1833,3686.4,470,Submitted,3.9,,0,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,CentOS,CentOS,None,20,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50787,179733
69,206,,"Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",Chengdu SC Center,Sugon,China,2019,Industry,520000,,1985,39936,510,Submitted,3.892156863,,0,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,CentOS,CentOS,None,20,Xeon Gold,Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,50815,179732
70,208,Gaïa,"Bull intel Cluster, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",EDF,Atos,France,2018,Industry,41472,,1980.53,3052.34,512,Submitted,3.868222656,,0,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,Calibre OS,Calibre OS,None,18,Xeon Gold,Bull intel Cluster,Bull Cluster,Omnipath,Intel Omni-Path,Europe,50679,179569
71,497,TYACC-System,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 100Gb 6D-Torus",Taiyuan Advanced Computing Center,Sugon,China,2018,Government,24640,,1237,2050.05,320,Submitted,3.865625,,0,,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600,CentOS,CentOS,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,100Gb 6D-Torus,Asia,50791,179558
72,149,Makman-3,"PowerEdge R440/C6320p, Intel Xeon Phi 7250/Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",Saudi Aramco,Dell EMC,Saudi Arabia,2018,Industry,53300,,2322.46,3581.76,608,Submitted,3.819835526,,0,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,RHEL 7.4,RHEL 7.4,None,16,Xeon Gold,PowerEdge R440,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,Asia,48751,179437
73,20,Tera-1000-2,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",Commissariat a l'Energie Atomique (CEA),Atos,France,2017,Research,561408,,11965.5,23396.35,3178,Submitted,3.765103839,,0,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,bullx SCS,bullx SCS,None,68,Intel Xeon Phi,Bull Sequana X1000,Bull Sequana,Custom Interconnect,Bull BXI 1.2,Europe,47593,179412
74,459,,"HPE SGI 8600, Xeon Gold 6148 20C 2.4GHz, 4xEDR Infiniband",Central Research Institute of Electric Power Industry/CRIEPI,HPE,Japan,2018,Research,26400,,1326.25,2027.52,357.55,Submitted,3.709271431,,0,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Red Hat Enterprise Linux,Red Hat Enterprise Linux,None,20,Xeon Gold,HPE SGI 8600,HPE SGI 8600,Infiniband,4xEDR Infiniband,Asia,47530,179563
75,224,CTcluster,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",Telecom Company,Sugon,China,2018,Industry,54000,,1928,3974.4,520,Submitted,3.707692308,,0,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,CentOS,CentOS,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50591,179535
76,79,LLNL/NNSA CTS-1 MAGMA,"Relion Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",Lawrence Livermore National Laboratory,Penguin Computing,United States,2019,Research,62400,,3241.24,4592.64,887,Submitted,3.65416009,,0,,,,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,2300,TOSS,TOSS,None,48,Xeon Platinum 92xx (Cascade Lake),Relion Cluster,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,48247,179774
77,106,SNL/NNSA CTS-1 Attaway,"Tundra Extreme Scale, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",Sandia National Laboratories,Penguin Computing,United States,2019,Research,52920,,2724.52,3894.91,750,Submitted,3.632693333,,0,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,TOSS,TOSS,None,18,Xeon Gold,Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,48748,179777
78,50,TX-GAIA (Green AI Accelerator),"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path",MIT Lincoln Laboratory Supercomputing Center,HPE,United States,2019,Academic,88400,70720,5161,6981.48,1436,Submitted,3.594011142,,0,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,CentOS Linux 7,CentOS Linux 7,NVIDIA Tesla V100,20,Xeon Gold 62xx (Cascade Lake),Apollo 2000,HP Apollo,Omnipath,Intel Omni-Path,North America,48296,179603
79,127,CLAIX (2018),"INTEL-HNS2600BPB, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",Universitaet Aachen/RWTH - IT Center,NEC,Germany,2018,Academic,61200,,2483.58,4112.64,692.05,Submitted,3.588729138,,0,,,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,CentOS,CentOS,None,24,Xeon Platinum,INTEL-HNS2600BPB,NEC Cluster,Omnipath,Intel Omni-Path,Europe,50675,179682
80,121,PAI-BSystem,"Sugon TC4600LP/W740I, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR, NVIDIA Tesla P100",China Meteorological Administration,Sugon,China,2018,Research,50816,2688,2547,4229.85,710,Submitted,3.587323944,,0,,,,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,2600,RHEL 7.3,RHEL 7.3,NVIDIA Tesla P100,16,Xeon Gold,Sugon TC4600LP,Sugon Cluster,Infiniband,Infiniband EDR,Asia,47551,179440
81,16,Cori,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",DOE/SC/LBNL/NERSC,Cray/HPE,United States,2016,Research,622336,,14014.7,27880.65,3939,Submitted,3.557933486,,0,,,,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Cray Linux Environment ,Cray Linux Environment ,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,48429,178924
82,492,,"Huawei X6000 V5, Xeon Gold 6248 20C 2.5GHz, Infiniband HDR",University,Huawei,China,2019,Research,29600,,1250.32,2368,360.75,Submitted,3.465890506,,0,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,Linux,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Huawei X6000 V5,Huawei Cluster,Infiniband,Infiniband HDR,Asia,50765,179773
83,247,scafellpike,"Bull Sequana X1000, Intel Xeon Phi 7210 64C 1.3GHz/Xeon Gold 6142, Mellanox EDR",Science and Technology Facilities Council,Atos,United Kingdom,2017,Research,80640,,1829.86,4329.73,529,Submitted,3.459092628,,0,,,,Cluster,Intel Xeon Phi 7210 64C 1.3GHz,Intel Xeon Phi,1300,bullx SCS,bullx SCS,None,64,Intel Xeon Phi,Bull Sequana X1000,Bull Sequana,Infiniband,Infiniband EDR,Europe,50732,179163
84,195,,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",Telecom Company,Sugon,China,2019,Industry,55440,,2026,4080.38,590,Submitted,3.433898305,,0,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,CentOS,CentOS,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50591,179785
85,44,COBRA,"Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",Max-Planck-Gesellschaft MPI/IPP,Intel,Germany,2018,Research,127520,,5612.83,9793.54,1635,Submitted,3.432923547,,0,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,SUSE Linux Enterprise Server 12 SP1,SUSE Linux Enterprise Server 12 SP1,None,20,Xeon Gold,Intel Compute Module HNS2600BP,Intel Cluster,Omnipath,Intel Omni-Path,Europe,48331,179423
86,220,,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",State Grid Corp,Sugon,China,2019,Industry,53280,,1952,3921.41,570,Submitted,3.424561404,,0,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,CentOS,CentOS,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50610,179786
87,5,Tianhe-2A,"TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000",National Super Computer Center in Guangzhou,NUDT,China,2018,Research,4981760,4554752,61444.5,100678.66,18482,Submitted,3.32455903,,0,,,,Cluster,Intel Xeon E5-2692v2 12C 2.2GHz,Intel IvyBridge,2200,Kylin Linux,Kylin Linux,Matrix-2000,12,Intel Xeon E5 (IvyBridge),TH-IVB-FEP Cluster,TH-IVB Cluster,Custom Interconnect,TH Express-2,Asia,50365,177999
88,114,Cedar (CPU),"PowerEdge C6420, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",Simon Fraser University/Compute Canada,ACTION,Canada,2020,Academic,67584,,2607.98,4895.54,792,Submitted,3.29290404,,0,,,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,CentOS,CentOS,None,24,Xeon Platinum,PowerEdge C6420,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,50722,179858
89,133,PAI-ASystem,"Sugon TC4600, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR",China Meteorological Administration,Sugon,China,2017,Research,48128,,2435,4004.25,740,Submitted,3.290540541,,0,,,,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,2600,Linux,Linux,None,16,Xeon Gold,Sugon TC4600,Sugon Cluster,Infiniband,Infiniband EDR,Asia,47551,179425
90,261,Molecular Simulator,"NEC LX Cluster, Xeon Gold 6148/6154, Intel Omni-Path",Institute for Molecular Science,NEC,Japan,2017,Research,38552,,1785.62,3072.77,544.48,Submitted,3.279496033,,0,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,CentOS,CentOS,None,20,Xeon Gold,NEC LX Cluster,NEC Cluster,Omnipath,Intel Omni-Path,Asia,48473,179173
91,46,Electra,"HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB",NASA/Ames Research Center/NAS,HPE,United States,2018,Research,124416,,5444.64,8316.52,1685.73,Submitted,3.229841078,,0,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,SLES12 SP2,SLES12 SP2,None,20,Xeon Gold,HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR,North America,48408,179589
92,287,Internet Service D,"Huawei 1288H V5, Xeon Platinum 8160  24C 2.1GHz, Infiniband EDR",Internet Service J,Huawei,China,2019,Others,48960,,1671.37,3290.11,524.28,Submitted,3.187933928,,0,,,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,Linux,Linux,None,24,Xeon Platinum,Huawei 1288H V5,Huawei Cluster,Infiniband,Infiniband EDR,Asia,50776,179726
93,221,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",IT Service Provider,Sugon,China,2019,Industry,58112,,1934,3905.13,630,Submitted,3.06984127,,0,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,CentOS,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50741,179736
94,241,bsystem,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,55040,,1838,3698.69,600,Submitted,3.063333333,,0,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,CentOS,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50743,179670
95,250,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 10G Ethernet",IT Service Provider,Sugon,China,2019,Industry,44100,,1824,3669.12,600,Submitted,3.04,,0,,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600,CentOS,CentOS,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50709,179735
96,232,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,56800,,1896,3816.96,625,Submitted,3.0336,,0,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,CentOS,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50761,179737
97,253,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Government Agency (S),Sugon,China,2019,Government,54240,,1815,3644.93,600,Submitted,3.025,,0,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,CentOS,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50824,179787
98,230,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet",DJIT Company,Sugon,China,2019,Industry,46200,,1901,3843.84,630,Submitted,3.017460317,,0,,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600,CentOS,CentOS,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50787,179734
99,219,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet",Telecom Company,Sugon,China,2019,Industry,47600,,1955,3960.32,650,Submitted,3.007692308,,0,,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600,CentOS,CentOS,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50591,179784
100,399,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,48000,,1590,3225.6,530,Submitted,3,,0,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,CentOS,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50743,179669
101,216,Mogon II,"NEC Cluster, Xeon Gold 6130 16C 2.1GHz, MEGWARE MiriQuid Xeon E5-2630v4, Intel Omni-Path",Universitaet Mainz,NEC/MEGWARE,Germany,2017,Academic,49432,,1967.81,2800.87,657,Submitted,2.995144597,,0,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,CentOS,None,16,Xeon Gold,NEC Cluster,NEC Cluster,Omnipath,Intel Omni-Path,Europe,49102,178930
102,211,bsystem,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,60800,,1976,4085.76,660,Submitted,2.993939394,,0,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,CentOS,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50743,179671
103,162,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,67200,,2192,4515.84,740,Submitted,2.962162162,,0,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,CentOS,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50743,179672
104,293,Endeavor,"Intel Cluster, Intel Xeon 6245/8280/6230/8268/8260L/8276/9242, Intel Omni-Path",Intel,Intel,United States,2011,Industry,31524,,1653.92,2467.7,558.6,Submitted,2.960830648,,0,,,,Cluster,Xeon Gold 6230 20C 2.1GHz,Intel Cascade lake,2100,Linux,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Intel Cluster,Intel Cluster,Omnipath,Intel Omni-Path,North America,49821,176908
105,132,Centennial,"SGI ICE XA, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR",US Army Research Laboratory (ARL),HPE,United States,2017,Research,73920,,2443.7,2601.98,835,Submitted,2.926586826,,0,,,,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,RHEL 7.2,RHEL 7.2,None,20,Intel Xeon E5 (Broadwell),SGI ICE XA,SGI ICE,Infiniband,Infiniband EDR,North America,49039,179105
106,280,Puhti,"Bull Sequana X1000, Xeon Gold 6230 20C 2.1GHz, Mellanox HDR100",CSC (Center for Scientific Computing),Atos,Finland,2019,Academic,40000,,1706.73,2688,585,Submitted,2.917487179,,0,,,,Cluster,Xeon Gold 6230 20C 2.1GHz,Intel Cascade lake,2100,bullx SCS,bullx SCS,None,20,Xeon Gold 62xx (Cascade Lake),Bull Sequana X1000,Bull Sequana,Infiniband,Mellanox InfiniBand HDR100,Europe,47508,179601
107,447,Bsystem,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,43200,,1379,2903.04,480,Submitted,2.872916667,,0,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,CentOS,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50743,179668
108,78,Damson,"Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",AWE,Atos,United Kingdom,2017,Research,113832,,3243.41,3791.58,1134,Submitted,2.860149912,,0,,,,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,bullx SCS,bullx SCS,None,18,Intel Xeon E5 (Broadwell),Bull Sequana X1000,Bull Sequana,Infiniband,Infiniband EDR,Europe,47363,179409
109,494,,"Huawei X6000, Xeon Gold 6230 20C 2.1GHz, Intel Omni-Path",Manufacturing Company C,Huawei,Germany,2019,Industry,36000,,1241.05,2419.2,438.75,Submitted,2.828603989,,0,,,,Cluster,Xeon Gold 6230 20C 2.1GHz,Intel Cascade lake,2100,Linux,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Huawei X6000,Huawei Cluster,Omnipath,Intel Omni-Path,Europe,50691,179728
110,65,JURECA,"T-Platforms V-Class/Dell C6320P, E5-2680v3/Phi 7250-F, EDR/Intel Omni-Path/ParTec ParaStation, Tesla K80/K40",Forschungszentrum Juelich (FZJ),"T-Platforms, Intel, Dell",Germany,2015,Research,155150,4110,3782.57,6563.84,1345.28,Submitted,2.81173436,,0,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,CentOS,NVIDIA Tesla K80,12,Intel Xeon E5 (Haswell),T-Platforms V-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband EDR,Europe,47871,178718
111,496,DataLearning(C),"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 10G Ethernet",IT Service Provider,Sugon,China,2018,Industry,30240,,1237,2515.97,440,Submitted,2.811363636,,0,,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600,CentOS,CentOS,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50741,179665
